# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue -d /dev/sdb dump.img ddrescue.log -r 1
# Start time:   2023-02-28 18:26:58
# Current time: 2023-02-28 19:22:09
# Retrying bad sectors... Retry 1 (forwards)
# current_pos  current_status  current_pass
0x000AC200     -               1
#      pos        size  status
0x000B7400  0x00000600  -
0x000B7A00  0x00000400  +
0x000B7E00  0x00000600  -
0x000B8400  0x00000400  +
0x000B8800  0x00000200  -
0x000B8A00  0x00000400  +
0x000B8E00  0x00000400  -
0x000B9200  0x00000600  +
0x000B9800  0x00000600  -
0x000B9E00  0x00000600  +
0x000BA400  0x00000400  -
0x000BA800  0x00000800  +
0x000BB000  0x00000800  -
0x000BB800  0x00000600  +
0x000BBE00  0x00000400  -
0x000BC200  0x00000400  +
0x000BC600  0x00000600  -
0x000BCC00  0x00000400  +
0x000BD000  0x00000200  -
0x000BD200  0x00000400  +
0x000BD600  0x00000400  -
0x000BDA00  0x00000400  +
0x000BDE00  0x00000800  -
0x000BE600  0x00000400  +
0x000BEA00  0x00000600  -
0x000BF000  0x00000800  +
0x000BF800  0x00000800  -
0x000C0000  0x00000400  +
0x000C0400  0x00000600  -
0x000C0A00  0x00000400  +
0x000C0E00  0x00000600  -
0x000C1400  0x00000400  +
0x000C1800  0x00000200  -
0x000C1A00  0x00000400  +
0x000C1E00  0x00000400  -
0x000C2200  0x00000600  +
0x000C2800  0x00000600  -
0x000C2E00  0x00000400  +
0x000C3200  0x00000600  -
0x000C3800  0x00000800  +
0x000C4000  0x00000800  -
0x000C4800  0x00000600  +
0x000C4E00  0x00000400  -
0x000C5200  0x00000400  +
0x000C5600  0x00000800  -
0x000C5E00  0x00000200  +
0x000C6000  0x00000200  -
0x000C6200  0x00000400  +
0x000C6600  0x00000400  -
0x000C6A00  0x00000600  +
0x000C7000  0x00000600  -
0x000C7600  0x00000400  +
0x000C7A00  0x00000600  -
0x000C8000  0x00000800  +
0x000C8800  0x00000800  -
0x000C9000  0x00000400  +
0x000C9400  0x00000600  -
0x000C9A00  0x00000400  +
0x000C9E00  0x00000600  -
0x000CA400  0x00000400  +
0x000CA800  0x00000200  -
0x000CAA00  0x00000400  +
0x000CAE00  0x00000400  -
0x000CB200  0x00000600  +
0x000CB800  0x00000600  -
0x000CBE00  0x00000600  +
0x000CC400  0x00000400  -
0x000CC800  0x00000800  +
0x000CD000  0x00000800  -
0x000CD800  0x00000600  +
0x000CDE00  0x00000400  -
0x000CE200  0x00000400  +
0x000CE600  0x00000600  -
0x000CEC00  0x00000400  +
0x000CF000  0x00000200  -
0x000CF200  0x00000400  +
0x000CF600  0x00000400  -
0x000CFA00  0x00000600  +
0x000D0000  0x00000600  -
0x000D0600  0x00000400  +
0x000D0A00  0x00000600  -
0x000D1000  0x00000800  +
0x000D1800  0x00000800  -
0x000D2000  0x00000600  +
0x000D2600  0x00000400  -
0x000D2A00  0x00000400  +
0x000D2E00  0x00000600  -
0x000D3400  0x00000400  +
0x000D3800  0x00000200  -
0x000D3A00  0x00000400  +
0x000D3E00  0x00000400  -
0x000D4200  0x00000600  +
0x000D4800  0x00000600  -
0x000D4E00  0x00000400  +
0x000D5200  0x00000600  -
0x000D5800  0x00000800  +
0x000D6000  0x00000800  -
0x000D6800  0x00000600  +
0x000D6E00  0x00000400  -
0x000D7200  0x00000400  +
0x000D7600  0x00000600  -
0x000D7C00  0x00000400  +
0x000D8000  0x00000200  -
0x000D8200  0x00000400  +
0x000D8600  0x00000400  -
0x000D8A00  0x00000600  +
0x000D9000  0x00000600  -
0x000D9600  0x00000400  +
0x000D9A00  0x00000600  -
0x000DA000  0x00000800  +
0x000DA800  0x00000800  -
0x000DB000  0x00000600  +
0x000DB600  0x00000400  -
0x000DBA00  0x00000400  +
0x000DBE00  0x00000600  -
0x000DC400  0x00000400  +
0x000DC800  0x00000200  -
0x000DCA00  0x00000400  +
0x000DCE00  0x00000600  -
0x000DD400  0x00000400  +
0x000DD800  0x00000600  -
0x000DDE00  0x00000400  +
0x000DE200  0x00000600  -
0x000DE800  0x00000800  +
0x000DF000  0x00000800  -
0x000DF800  0x00000400  +
0x000DFC00  0x00000600  -
0x000E0200  0x00000400  +
0x000E0600  0x00000600  -
0x000E0C00  0x00000400  +
0x000E1000  0x00000200  -
0x000E1200  0x00000400  +
0x000E1600  0x00000400  -
0x000E1A00  0x00000400  +
0x000E1E00  0x00000800  -
0x000E2600  0x00000400  +
0x000E2A00  0x00000600  -
0x000E3000  0x00000800  +
0x000E3800  0x00000800  -
0x000E4000  0x00000400  +
0x000E4400  0x00000600  -
0x000E4A00  0x00000400  +
0x000E4E00  0x00000600  -
0x000E5400  0x00000400  +
0x000E5800  0x00000200  -
0x000E5A00  0x00000400  +
0x000E5E00  0x00000400  -
0x000E6200  0x00000600  +
0x000E6800  0x00000600  -
0x000E6E00  0x00000600  +
0x000E7400  0x00000400  -
0x000E7800  0x00000800  +
0x000E8000  0x00000800  -
0x000E8800  0x00000600  +
0x000E8E00  0x00000400  -
0x000E9200  0x00000400  +
0x000E9600  0x00000800  -
0x000E9E00  0x00000200  +
0x000EA000  0x00000200  -
0x000EA200  0x00000400  +
0x000EA600  0x00000400  -
0x000EAA00  0x00000600  +
0x000EB000  0x00000600  -
0x000EB600  0x00000600  +
0x000EBC00  0x00000400  -
0x000EC000  0x00000800  +
0x000EC800  0x00000800  -
0x000ED000  0x00000600  +
0x000ED600  0x00000400  -
0x000EDA00  0x00000400  +
0x000EDE00  0x00000800  -
0x000EE600  0x00000200  +
0x000EE800  0x00000200  -
0x000EEA00  0x00000400  +
0x000EEE00  0x00000400  -
0x000EF200  0x00000600  +
0x000EF800  0x00000600  -
0x000EFE00  0x00000400  +
0x000F0200  0x00000600  -
0x000F0800  0x00000800  +
0x000F1000  0x00000800  -
0x000F1800  0x00000600  +
0x000F1E00  0x00000400  -
0x000F2200  0x00000400  +
0x000F2600  0x00000600  -
0x000F2C00  0x00000400  +
0x000F3000  0x00000200  -
0x000F3200  0x00000400  +
0x000F3600  0x00000400  -
0x000F3A00  0x00000600  +
0x000F4000  0x00000600  -
0x000F4600  0x00000400  +
0x000F4A00  0x00000600  -
0x000F5000  0x00000800  +
0x000F5800  0x00000800  -
0x000F6000  0x00000600  +
0x000F6600  0x00000400  -
0x000F6A00  0x00000400  +
0x000F6E00  0x00000600  -
0x000F7400  0x00000400  +
0x000F7800  0x00000200  -
0x000F7A00  0x00000400  +
0x000F7E00  0x00000400  -
0x000F8200  0x00000600  +
0x000F8800  0x00000600  -
0x000F8E00  0x00000400  +
0x000F9200  0x00000600  -
0x000F9800  0x00000800  +
0x000FA000  0x00000A00  -
0x000FAA00  0x00000200  +
0x000FAC00  0x00000600  -
0x000FB200  0x00000400  +
0x000FB600  0x00000800  -
0x000FBE00  0x00000200  +
0x000FC000  0x00000200  -
0x000FC200  0x00000400  +
0x000FC600  0x00000400  -
0x000FCA00  0x00000600  +
0x000FD000  0x00000600  -
0x000FD600  0x00000400  +
0x000FDA00  0x00000600  -
0x000FE000  0x00000800  +
0x000FE800  0x00000800  -
0x000FF000  0x00000400  +
0x000FF400  0x00000600  -
0x000FFA00  0x00000400  +
0x000FFE00  0x00000800  -
0x00100600  0x00000200  +
0x00100800  0x00000200  -
0x00100A00  0x00000400  +
0x00100E00  0x00000400  -
0x00101200  0x00000600  +
0x00101800  0x00000600  -
0x00101E00  0x00000400  +
0x00102200  0x00000600  -
0x00102800  0x00000800  +
0x00103000  0x00000800  -
0x00103800  0x00000400  +
0x00103C00  0x00000600  -
0x00104200  0x00000400  +
0x00104600  0x00000800  -
0x00104E00  0x00000200  +
0x00105000  0x00000200  -
0x00105200  0x00000400  +
0x00105600  0x00000400  -
0x00105A00  0x00000600  +
0x00106000  0x00000600  -
0x00106600  0x00000400  +
0x00106A00  0x00000600  -
0x00107000  0x00000800  +
0x00107800  0x00000800  -
0x00108000  0x00000400  +
0x00108400  0x00000600  -
0x00108A00  0x00000400  +
0x00108E00  0x00000800  -
0x00109600  0x00000200  +
0x00109800  0x00000200  -
0x00109A00  0x00000400  +
0x00109E00  0x00000400  -
0x0010A200  0x00000400  +
0x0010A600  0x00000800  -
0x0010AE00  0x00000400  +
0x0010B200  0x00000600  -
0x0010B800  0x00000A00  +
0x0010C200  0x00000800  -
0x0010CA00  0x00000200  +
0x0010CC00  0x00000600  -
0x0010D200  0x00000400  +
0x0010D600  0x00000800  -
0x0010DE00  0x00000200  +
0x0010E000  0x00000200  -
0x0010E200  0x00000400  +
0x0010E600  0x00000400  -
0x0010EA00  0x00000600  +
0x0010F000  0x00000600  -
0x0010F600  0x00000400  +
0x0010FA00  0x00000600  -
0x00110000  0x00000800  +
0x00110800  0x00000A00  -
0x00111200  0x00000200  +
0x00111400  0x00000600  -
0x00111A00  0x00000400  +
0x00111E00  0x00000800  -
0x00112600  0x00000200  +
0x00112800  0x00000200  -
0x00112A00  0x00000400  +
0x00112E00  0x00000400  -
0x00113200  0x00000600  +
0x00113800  0x00000600  -
0x00113E00  0x00000400  +
0x00114200  0x00000600  -
0x00114800  0x00000800  +
0x00115000  0x00000A00  -
0x00115A00  0x00000200  +
0x00115C00  0x00000600  -
0x00116200  0x00000400  +
0x00116600  0x00000800  -
0x00116E00  0x00000200  +
0x00117000  0x00000200  -
0x00117200  0x00000400  +
0x00117600  0x00000400  -
0x00117A00  0x00000600  +
0x00118000  0x00000600  -
0x00118600  0x00000400  +
0x00118A00  0x00000600  -
